Adam Andruszkiewicz,konstytucja,2,Kukiz'15
Adam Andruszkiewicz,polak,6,Kukiz'15
Adam Andruszkiewicz,polski,19,Kukiz'15
Adam Andruszkiewicz,unia,5,Kukiz'15
Adam Cyrański,konstytucja,1,Nowoczesna
Adam Cyrański,polak,2,Nowoczesna
Adam Cyrański,polski,7,Nowoczesna
Adam Cyrański,trybunał,2,Nowoczesna
Jarosław Porwich,kobieta,6,Kukiz'15
Jarosław Porwich,polak,9,Kukiz'15
Jarosław Porwich,polski,16,Kukiz'15
Jarosław Porwich,unia,1,Kukiz'15
Łukasz Rzepecki,polak,1,PiS
Łukasz Rzepecki,polski,1,PiS
Małgorzata Janowska,polak,1,Republikanie
Małgorzata Janowska,polski,8,Republikanie
Małgorzata Janowska,unia,3,Republikanie
Maria Siarkowska,kobieta,2,Republikanie
Maria Siarkowska,konstytucja,2,Republikanie
Maria Siarkowska,polski,27,Republikanie
Maria Siarkowska,trybunał,2,Republikanie
Piotr Liroy-Marzec,konstytucja,1,Kukiz'15
Piotr Liroy-Marzec,polski,3,Kukiz'15
Piotr Liroy-Marzec,unia,1,Kukiz'15
Sylwester Chruszcz,kobieta,4,Kukiz'15
Sylwester Chruszcz,polak,11,Kukiz'15
Sylwester Chruszcz,polski,86,Kukiz'15
Sylwester Chruszcz,sąd,2,Kukiz'15
Sylwester Chruszcz,trybunał,4,Kukiz'15
Sylwester Chruszcz,unia,48,Kukiz'15
Zbigniew Gryglas,kobieta,1,Nowoczesna
Zbigniew Gryglas,konstytucja,11,Nowoczesna
Zbigniew Gryglas,polak,15,Nowoczesna
Zbigniew Gryglas,polski,55,Nowoczesna
Zbigniew Gryglas,sąd,15,Nowoczesna
Zbigniew Gryglas,trybunał,15,Nowoczesna
Zbigniew Gryglas,unia,5,Nowoczesna
