Agnieszka Ścigaj,kobieta,2,Polskie Sprawy
Agnieszka Ścigaj,kobieta,2,
Agnieszka Ścigaj,polak,4,Polskie Sprawy
Agnieszka Ścigaj,polak,4,
Agnieszka Ścigaj,polski,16,Polskie Sprawy
Agnieszka Ścigaj,polski,16,
Agnieszka Ścigaj,sąd,5,Polskie Sprawy
Agnieszka Ścigaj,sąd,5,
Agnieszka Ścigaj,trybunał,1,Polskie Sprawy
Agnieszka Ścigaj,trybunał,1,
Hanna Gill-Piątek,kobieta,16,
Hanna Gill-Piątek,polak,11,
Hanna Gill-Piątek,polski,45,
Hanna Gill-Piątek,sąd,3,
Hanna Gill-Piątek,trybunał,6,
Hanna Gill-Piątek,unia,5,
Ireneusz Raś,polski,11,PSL
Ireneusz Raś,unia,1,PSL
Jarosław Sachajko,kobieta,1,Kukiz'15
Jarosław Sachajko,konstytucja,1,Kukiz'15
Jarosław Sachajko,polak,7,Kukiz'15
Jarosław Sachajko,polski,24,Kukiz'15
Jarosław Sachajko,sąd,13,Kukiz'15
Jarosław Sachajko,trybunał,1,Kukiz'15
Jarosław Sachajko,unia,8,Kukiz'15
Mirosław Suchoń,konstytucja,7,Polska 2050
Mirosław Suchoń,polak,42,Polska 2050
Mirosław Suchoń,polski,133,Polska 2050
Mirosław Suchoń,praworządność,3,Polska 2050
Mirosław Suchoń,sąd,6,Polska 2050
Mirosław Suchoń,trybunał,4,Polska 2050
Mirosław Suchoń,unia,25,Polska 2050
Monika Pawłowska,polak,1,
Monika Pawłowska,polski,2,
Monika Pawłowska,unia,3,
Paulina Hennig-Kloska,kobieta,1,Polska 2050
Paulina Hennig-Kloska,polak,24,Polska 2050
Paulina Hennig-Kloska,polski,26,Polska 2050
Paulina Hennig-Kloska,sąd,4,Polska 2050
Paulina Hennig-Kloska,trybunał,2,Polska 2050
Paulina Hennig-Kloska,unia,20,Polska 2050
Paweł Szramka,konstytucja,2,Kukiz'15
Paweł Szramka,konstytucja,2,
Paweł Szramka,polak,13,Kukiz'15
Paweł Szramka,polak,13,
Paweł Szramka,polski,6,Kukiz'15
Paweł Szramka,polski,6,
Paweł Zalewski,kobieta,1,
Paweł Zalewski,konstytucja,1,
Paweł Zalewski,polak,19,
Paweł Zalewski,polski,44,
Paweł Zalewski,unia,14,
Stanisław Żuk,polski,4,Kukiz'15
Stanisław Żuk,unia,1,Kukiz'15
Tomasz Zimoch,kobieta,4,Polska 2050
Tomasz Zimoch,konstytucja,11,Polska 2050
Tomasz Zimoch,polski,31,Polska 2050
Tomasz Zimoch,sąd,8,Polska 2050
Tomasz Zimoch,trybunał,23,Polska 2050
Tomasz Zimoch,unia,2,Polska 2050
Wojciech Maksymowicz,polak,4,Polska 2050
Wojciech Maksymowicz,polski,6,Polska 2050
Wojciech Maksymowicz,sąd,1,Polska 2050
Wojciech Maksymowicz,unia,9,Polska 2050
Zbigniew Girzyński,polski,5,Polskie Sprawy
